id_avaluo_marzo,id_avaluo_abril,categoria
AV-2025-000001,AV-2025-000001,CORREGIDO
AV-2025-000002,AV-2025-000002,PERSISTENTE
AV-2025-000003,AV-2025-000003,CUMPLE
AV-2024-000004,AV-2024-000004,CUMPLE
AV-2025-000005,AV-2025-000005,CUMPLE
AV-2024-000006,AV-2024-000006,CUMPLE
AV-2026-000007,AV-2026-000007,CUMPLE
AV-2024-000008,AV-2024-000008,CUMPLE
AV-2025-000009,AV-2025-000009,NUEVO
AV-2025-000010,AV-2025-000010,CUMPLE
AV-2024-000011,AV-2024-000011,NUEVO
AV-2025-000012,AV-2025-000012,NUEVO
AV-2025-000013,AV-2025-000013,PERSISTENTE
AV-2025-000014,AV-2025-000014,CUMPLE
AV-2026-000015,AV-2026-000015,CUMPLE
AV-2025-000016,AV-2025-000016,CUMPLE
AV-2025-000017,AV-2025-000017,CUMPLE
AV-2026-000018,AV-2026-000018,CUMPLE
AV-2026-000019,,SALIO
AV-2026-000020,AV-2026-000020,CUMPLE
AV-2025-000021,AV-2025-000021,CUMPLE
AV-2025-000022,AV-2025-000022,PERSISTENTE
AV-2025-000023,AV-2025-000023,CUMPLE
AV-2025-000024,AV-2025-000024,CUMPLE
AV-2025-000025,AV-2025-000025,CORREGIDO
AV-2024-000026,AV-2024-000026,PERSISTENTE
AV-2025-000027,AV-2025-000027,CUMPLE
AV-2025-000028,AV-2025-000028,CORREGIDO
AV-2024-000029,AV-2024-000029,CUMPLE
AV-2024-000030,AV-2024-000030,CUMPLE
AV-2025-000031,AV-2025-000031,CUMPLE
AV-2025-000032,,SALIO
AV-2025-000033,AV-2025-000033,CUMPLE
AV-2025-000034,AV-2025-000034,CUMPLE
AV-2025-000035,AV-2025-000035,CUMPLE
AV-2026-000036,AV-2026-000036,CUMPLE
AV-2025-000037,AV-2025-000037,CUMPLE
AV-2026-000038,AV-2026-000038,CUMPLE
AV-2025-000039,,SALIO
AV-2024-000040,AV-2024-000040,CUMPLE
AV-2024-000041,AV-2024-000041,CORREGIDO
AV-2025-000042,AV-2025-000042,PERSISTENTE
AV-2025-000043,AV-2025-000043,CUMPLE
AV-2025-000044,AV-2025-000044,CORREGIDO
AV-2025-000045,AV-2025-000045,CUMPLE
AV-2026-000046,AV-2026-000046,CUMPLE
AV-2025-000047,AV-2025-000047,CUMPLE
AV-2025-000048,AV-2025-000048,CUMPLE
AV-2024-000049,AV-2024-000049,CUMPLE
AV-2025-000050,AV-2025-000050,CORREGIDO
AV-2025-000051,AV-2025-000051,CUMPLE
AV-2025-000052,AV-2025-000052,CUMPLE
AV-2025-000053,AV-2025-000053,CUMPLE
AV-2025-000054,AV-2025-000054,CUMPLE
AV-2025-000055,AV-2025-000055,CUMPLE
AV-2025-000056,AV-2025-000056,PERSISTENTE
AV-2025-000057,AV-2025-000057,CUMPLE
AV-2025-000058,AV-2025-000058,CORREGIDO
AV-2025-000059,AV-2025-000059,CUMPLE
AV-2025-000060,AV-2025-000060,CUMPLE
AV-2025-000061,AV-2025-000061,CORREGIDO
AV-2024-000062,,SALIO_CUMPLIENDO
AV-2025-000063,AV-2025-000063,NUEVO
AV-2024-000064,AV-2024-000064,CUMPLE
AV-2025-000065,AV-2025-000065,CUMPLE
AV-2026-000066,AV-2026-000066,PERSISTENTE
AV-2025-000067,AV-2025-000067,CORREGIDO
AV-2024-000068,,SALIO
AV-2025-000069,AV-2025-000069,CUMPLE
AV-2025-000070,AV-2025-000070,CUMPLE
AV-2025-000071,AV-2025-000071,CORREGIDO
AV-2026-000072,AV-2026-000072,CUMPLE
AV-2025-000073,AV-2025-000073,CUMPLE
