corte,id_avaluo,numero_finca,rule_id
2026-03,AV-2024-000465,1-324123-383,R-07
2026-03,AV-2026-000628,7-933837,R-07
2026-03,AV-2024-001799,1-861148,R-07
2026-03,AV-2024-000565,2-166752,R-07
2026-03,AV-2025-001451,1-453445,R-07
2026-03,AV-2026-001095,1-865662,R-07
2026-03,AV-2024-003388,1-186132,R-07
2026-03,AV-2025-001549,4-222371,R-07
2026-03,AV-2026-002308,1-405969,R-07
2026-03,AV-2025-002588,1-500925,R-07
2026-03,AV-2025-002176,1-122618,R-07
2026-03,AV-2024-002055,4-550223,R-07
2026-03,AV-2024-002509,1-475469,R-07
2026-03,AV-2024-002708,3-979647,R-07
2026-03,AV-2025-002408,2-227807,R-07
2026-03,AV-2025-002165,5-934114,R-07
2026-03,AV-2026-002842,4-415919,R-07
2026-03,AV-2024-002018,3-616455,R-07
2026-03,AV-2025-003320,5-466659,R-07
2026-03,AV-2026-002768,1-640730,R-07
2026-03,AV-2025-003379,1-452249,R-07
2026-03,AV-2024-003496,3-655910,R-07
2026-03,AV-2024-003857,1-661745,R-07
2026-03,AV-2025-003114,2-121573,R-07
2026-03,AV-2024-000254,4-984713,R-07
2026-03,AV-2024-002050,1-529442,R-07
2026-03,AV-2025-003907,4-895870,R-07
2026-03,AV-2024-000985,1-804116,R-07
2026-03,AV-2026-000066,2-272775,R-07
2026-03,AV-2025-000313,1-120044,R-07
2026-03,AV-2025-001262,1-486804,R-07
2026-03,AV-2025-003547,2-837495,R-07
2026-03,AV-2025-003946,4-100694,R-07
2026-03,AV-2025-003902,6-881563,R-07
2026-03,AV-2025-002124,6-669303,R-07
2026-03,AV-2025-003838,6-994806,R-07
2026-03,AV-2026-003845,1-895524,R-07
2026-03,AV-2025-000969,1-369742,R-07
2026-03,AV-2025-001697,1-299708-340,R-07
2026-03,AV-2025-003155,6-151924,R-07
2026-03,AV-2024-002909,1-332379,R-07
2026-03,AV-2025-001219,7-923578,R-07
2026-03,AV-2026-001310,1-563672,R-07
2026-03,AV-2025-003864,3-594692,R-07
2026-03,AV-2025-002489,2-173016,R-07
2026-03,AV-2024-001515,1-833968,R-07
2026-03,AV-2025-003805,7-847513,R-07
2026-03,AV-2026-000330,1-695111,R-07
2026-03,AV-2025-000220,3-438244,R-07
2026-03,AV-2025-002008,4-393240,R-07
2026-03,AV-2025-002863,1-712221,R-07
2026-03,AV-2024-000849,1-676951,R-07
2026-03,AV-2025-003972,4-798531,R-07
2026-03,AV-2024-001716,6-756795,R-07
2026-03,AV-2026-003737,3-454540,R-07
2026-03,AV-2025-002733,5-307938,R-07
2026-03,AV-2025-003317,1-332137,R-07
2026-03,AV-2024-003312,7-506119,R-07
2026-03,AV-2024-003874,4-996589,R-07
2026-03,AV-2025-002344,3-694787,R-07
2026-03,AV-2025-002398,1-844667,R-07
2026-03,AV-2025-001261,1-446708,R-07
2026-03,AV-2025-000603,3-271447,R-07
2026-03,AV-2026-002486,7-518481,R-07
2026-03,AV-2025-001226,4-834729,R-07
2026-03,AV-2025-002354,1-485464,R-07
2026-03,AV-2025-003626,5-263819,R-07
2026-03,AV-2025-001148,7-834349,R-07
2026-03,AV-2024-002816,3-910235,R-07
2026-03,AV-2026-002062,1-441424,R-07
2026-03,AV-2025-003867,3-629495,R-07
2026-03,AV-2024-003602,1-854097,R-07
2026-03,AV-2025-002888,4-324831,R-07
2026-03,AV-2025-001636,5-469068,R-07
2026-03,AV-2025-001629,2-147217,R-07
2026-03,AV-2026-000470,1-745966,R-07
2026-03,AV-2025-003686,1-729950,R-07
2026-03,AV-2024-002305,1-526160,R-07
2026-03,AV-2026-002878,4-428837,R-07
2026-03,AV-2025-003701,1-438979,R-07
2026-03,AV-2025-000284,5-834174,R-07
2026-03,AV-2025-000392,4-713062,R-07
2026-03,AV-2025-000700,5-583390,R-07
2026-03,AV-2025-000868,3-543655,R-07
2026-03,AV-2025-002780,1-682383,R-07
2026-03,AV-2025-000219,2-141010,R-07
2026-03,AV-2025-000925,1-327508,R-07
2026-03,AV-2025-001771,5-484088,R-07
2026-03,AV-2024-002034,3-212943,R-07
2026-03,AV-2025-000623,1-221814,R-07
2026-03,AV-2025-000301,2-415114,R-07
2026-03,AV-2025-000580,1-598876,R-07
2026-03,AV-2025-001929,2-182281,R-07
2026-03,AV-2025-002636,2-544404,R-07
2026-03,AV-2025-002376,2-566238,R-07
2026-03,AV-2025-003485,2-801958,R-07
2026-03,AV-2025-001885,6-468599,R-07
2026-03,AV-2025-003487,5-516407,R-07
2026-03,AV-2025-000050,4-960038,R-07
2026-03,AV-2025-002092,1-342583,R-07
2026-03,AV-2026-003672,1-612356,R-07
2026-03,AV-2025-003117,1-953058,R-07
2026-03,AV-2025-000426,4-746716,R-07
2026-03,AV-2025-003390,1-370583,R-07
2026-03,AV-2025-000557,4-625648,R-07
2026-03,AV-2025-000380,3-667836,R-07
2026-03,AV-2025-001135,7-297229,R-07
2026-03,AV-2025-001183,7-743314,R-07
2026-03,AV-2025-001469,1-492689,R-07
2026-03,AV-2025-002690,1-402841,R-07
2026-03,AV-2024-000576,1-679811,R-07
2026-03,AV-2025-000124,7-786695-235,R-07
2026-03,AV-2025-002563,5-569207,R-07
2026-03,AV-2025-003892,3-142965,R-07
2026-03,AV-2025-001289,5-342499,R-07
2026-03,AV-2025-000622,4-554474,R-07
2026-03,AV-2024-002956,1-653494,R-07
2026-03,AV-2025-000963,1-731556,R-07
2026-03,AV-2026-000475,4-891247,R-07
2026-03,AV-2025-002796,1-656188,R-07
2026-03,AV-2024-003458,1-646370,R-07
2026-03,AV-2025-003491,3-139687,R-07
2026-03,AV-2025-001071,6-609129,R-07
2026-03,AV-2025-000453,4-641273,R-07
2026-03,AV-2025-000619,4-655910,R-07
2026-03,AV-2025-000736,1-124796,R-07
2026-03,AV-2025-003550,1-781452,R-07
2026-03,AV-2026-000826,1-519306,R-07
2026-03,AV-2025-002994,6-724115-212,R-07
2026-03,AV-2025-002763,1-241492,R-07
2026-03,AV-2025-002327,2-564685,R-07
2026-03,AV-2025-002506,4-707316,R-07
2026-03,AV-2025-003739,1-413017,R-07
2026-03,AV-2024-001399,3-747665,R-07
2026-03,AV-2025-003088,1-283873,R-07
