corte,zona,provincia,canton,moneda,avaluos,no_confiables,tasa_incumplimiento,saldo,exposicion_no_confiable
2026-03,CIUDAD_INTERMEDIA,Alajuela,Grecia,CRC,55,7,27.27,73672153400.98,3908431098.63
2026-03,CIUDAD_INTERMEDIA,Alajuela,Grecia,USD,9,1,22.22,13430742.02,
2026-03,CIUDAD_INTERMEDIA,Alajuela,San Carlos,CRC,60,4,35.0,98041397805.03,630327890.08
2026-03,CIUDAD_INTERMEDIA,Alajuela,San Carlos,USD,12,1,33.33,14163482.10,80058.24
2026-03,CIUDAD_INTERMEDIA,Alajuela,San Ramón,CRC,56,3,35.71,112643008667.17,20079258188.56
2026-03,CIUDAD_INTERMEDIA,Alajuela,San Ramón,USD,11,0,9.09,17046125.70,
2026-03,CIUDAD_INTERMEDIA,Cartago,Turrialba,CRC,51,3,25.49,58764261361.70,435284352.42
2026-03,CIUDAD_INTERMEDIA,Cartago,Turrialba,USD,18,1,33.33,19335198.39,153030.52
2026-03,CIUDAD_INTERMEDIA,Guanacaste,Liberia,CRC,53,6,33.96,53478658052.46,924476598.26
2026-03,CIUDAD_INTERMEDIA,Guanacaste,Liberia,USD,13,0,23.08,13029533.18,
2026-03,CIUDAD_INTERMEDIA,Guanacaste,Nicoya,CRC,62,6,30.65,39152646308.74,7509027419.93
2026-03,CIUDAD_INTERMEDIA,Guanacaste,Nicoya,USD,8,1,50.0,39716374.76,680789.87
2026-03,CIUDAD_INTERMEDIA,Limón,Limón,CRC,72,7,29.17,52956527665.09,2541277714.73
2026-03,CIUDAD_INTERMEDIA,Limón,Limón,USD,17,0,23.53,36664418.95,
2026-03,CIUDAD_INTERMEDIA,Limón,Pococí,CRC,61,2,24.59,100599395598.55,331757052.49
2026-03,CIUDAD_INTERMEDIA,Limón,Pococí,USD,14,1,21.43,71460633.70,127086.09
2026-03,CIUDAD_INTERMEDIA,Puntarenas,Puntarenas,CRC,68,6,25.0,140177818730.12,22831788938.68
2026-03,CIUDAD_INTERMEDIA,Puntarenas,Puntarenas,USD,15,3,40.0,4737190.10,82168.40
2026-03,CIUDAD_INTERMEDIA,San José,Pérez Zeledón,CRC,46,3,36.96,43605972355.42,89570098.83
2026-03,CIUDAD_INTERMEDIA,San José,Pérez Zeledón,USD,15,1,26.67,17150542.32,895023.09
2026-03,COSTA,Guanacaste,Carrillo,CRC,55,4,29.09,18584141011.88,240015765.23
2026-03,COSTA,Guanacaste,Carrillo,USD,46,5,28.26,18990337.60,980422.84
2026-03,COSTA,Guanacaste,Santa Cruz,CRC,47,2,31.91,20486438823.73,393535902.81
2026-03,COSTA,Guanacaste,Santa Cruz,USD,32,6,28.13,7532922.16,1697724.11
2026-03,COSTA,Limón,Talamanca,CRC,41,5,19.51,23511989410.11,1254553459.76
2026-03,COSTA,Limón,Talamanca,USD,34,3,32.35,18895043.05,
2026-03,COSTA,Puntarenas,Garabito,CRC,50,8,32.0,18210092343.02,738272610.50
2026-03,COSTA,Puntarenas,Garabito,USD,29,3,34.48,7209323.39,824308.99
2026-03,COSTA,Puntarenas,Quepos,CRC,55,5,30.91,29241810727.16,915312567.36
2026-03,COSTA,Puntarenas,Quepos,USD,26,0,11.54,6199659.37,
