id_avaluo,moneda,incumplia_marzo,incumple_abril,saldo_marzo,saldo_abril,avaluos_marzo,avaluos_abril,categoria
AV-2024-000004,USD,0,0,184871.54,183460.59,1,1,CUMPLE
AV-2024-000006,CRC,0,0,1020381663.80,1012019134.71,1,1,CUMPLE
AV-2024-000008,CRC,0,0,145441751.90,144164346.00,1,1,CUMPLE
AV-2024-000011,CRC,0,1,257400067.33,256176360.73,1,1,NUEVO
AV-2024-000026,USD,1,1,854564.37,848230.19,1,1,PERSISTENTE
AV-2024-000029,CRC,0,0,,,1,1,CUMPLE
AV-2024-000030,CRC,0,0,,,1,1,CUMPLE
AV-2024-000040,USD,0,0,,,1,1,CUMPLE
AV-2024-000041,CRC,1,0,63766249.42,63051735.77,1,1,CORREGIDO
AV-2024-000049,USD,0,0,634359.95,627701.39,1,1,CUMPLE
AV-2024-000062,CRC,0,,162123044.51,,1,0,SALIO_CUMPLIENDO
AV-2024-000064,USD,0,0,412877.05,411062.57,1,1,CUMPLE
AV-2024-000068,CRC,1,,42811601.45,,1,0,SALIO
AV-2024-000074,CRC,0,0,95400661.38,94835453.55,1,1,CUMPLE
AV-2024-000080,CRC,0,0,777091908.33,772809478.93,1,1,CUMPLE
AV-2024-000081,USD,0,0,150724.30,149503.02,1,1,CUMPLE
AV-2024-000083,CRC,0,0,574519616.66,568206239.40,1,1,CUMPLE
AV-2024-000086,CRC,1,1,,,1,1,PERSISTENTE
AV-2024-000091,CRC,0,0,259787007.79,258351572.26,1,1,CUMPLE
AV-2024-000100,USD,0,0,,,1,1,CUMPLE
AV-2024-000111,CRC,1,1,153479442.65,152907834.94,1,1,PERSISTENTE
AV-2024-000118,USD,0,0,286879.20,284707.65,1,1,CUMPLE
AV-2024-000121,CRC,1,1,100188207.22,99076997.76,1,1,PERSISTENTE
AV-2024-000131,USD,0,0,5371836.98,5345059.07,1,1,CUMPLE
AV-2024-000133,CRC,0,0,2278055000.96,2253674533.40,1,1,CUMPLE
AV-2024-000134,CRC,0,0,48893604.25,48505668.80,1,1,CUMPLE
AV-2024-000139,USD,0,0,187315.10,186018.81,1,1,CUMPLE
AV-2024-000149,CRC,0,0,,,1,1,CUMPLE
AV-2024-000151,CRC,0,0,,,1,1,CUMPLE
AV-2024-000154,CRC,1,0,,,1,1,CORREGIDO
AV-2024-000160,USD,0,0,191327.00,190710.61,1,1,CUMPLE
AV-2024-000166,USD,1,,4682282.47,,1,0,SALIO
AV-2024-000168,CRC,0,0,174977398.66,173746986.17,1,1,CUMPLE
AV-2024-000172,CRC,0,0,499562278.35,496871438.39,1,1,CUMPLE
AV-2024-000176,USD,0,0,241755.36,239709.09,1,1,CUMPLE
AV-2024-000178,CRC,0,0,158645979.79,157847797.97,1,1,CUMPLE
AV-2024-000186,CRC,0,0,104796393.39,103802386.86,1,1,CUMPLE
AV-2024-000197,USD,0,0,251301.51,249419.92,1,1,CUMPLE
AV-2024-000201,CRC,0,0,210254974.97,208528420.68,1,1,CUMPLE
AV-2024-000218,CRC,0,0,103984546.76,103219850.15,1,1,CUMPLE
AV-2024-000242,CRC,1,1,157212587.28,156655851.92,1,1,PERSISTENTE
AV-2024-000254,CRC,1,0,204576579.68,202508979.64,1,1,CORREGIDO
AV-2024-000258,USD,1,1,533029.89,528726.93,1,1,PERSISTENTE
AV-2024-000269,CRC,1,1,437515645.81,434302164.02,1,1,PERSISTENTE
AV-2024-000270,CRC,0,0,188043712.40,187229355.80,1,1,CUMPLE
AV-2024-000274,CRC,1,1,418418545.58,416511206.26,1,1,PERSISTENTE
AV-2024-000289,CRC,0,0,3573363734.99,3533381421.29,1,1,CUMPLE
AV-2024-000291,USD,0,0,293744.14,292814.05,1,1,CUMPLE
AV-2024-000292,USD,0,0,169369.15,168790.32,1,1,CUMPLE
AV-2024-000294,CRC,0,0,,,1,1,CUMPLE
AV-2024-000297,CRC,1,0,90600762.62,90026525.94,1,1,CORREGIDO
AV-2024-000304,CRC,0,0,951635494.89,946229734.87,1,1,CUMPLE
AV-2024-000319,CRC,0,0,94313007.66,93577327.90,1,1,CUMPLE
AV-2024-000337,USD,1,0,130704.97,129418.25,1,1,CORREGIDO
AV-2024-000345,USD,0,1,762488.03,754932.64,1,1,NUEVO
AV-2024-000349,CRC,1,0,,,2,1,CORREGIDO
AV-2024-000350,CRC,0,0,921185218.87,913421273.56,1,1,CUMPLE
AV-2024-000357,CRC,1,0,362194789.08,360769207.35,1,1,CORREGIDO
AV-2024-000364,USD,0,0,949082.99,942145.09,1,1,CUMPLE
AV-2024-000365,CRC,0,0,4757237608.45,4705099378.94,1,1,CUMPLE
AV-2024-000370,CRC,1,,165872990.33,,1,0,SALIO
AV-2024-000374,CRC,0,0,1390653047.66,1376877414.29,1,1,CUMPLE
AV-2024-000382,CRC,0,0,163922401.87,162225211.30,1,1,CUMPLE
AV-2024-000383,USD,0,0,156985.64,155246.26,1,1,CUMPLE
AV-2024-000394,USD,1,1,10172129.31,10067124.35,1,1,PERSISTENTE
AV-2024-000396,USD,0,,2122213.34,,1,0,SALIO_CUMPLIENDO
AV-2024-000401,CRC,1,0,106107737.89,104871164.61,1,1,CORREGIDO
AV-2024-000405,USD,1,0,178673.37,177202.84,1,1,CORREGIDO
AV-2024-000408,CRC,1,0,,,1,1,CORREGIDO
AV-2024-000410,CRC,0,0,489586025.65,487886608.51,1,1,CUMPLE
AV-2024-000412,USD,0,0,4102888.81,4084448.75,1,1,CUMPLE
AV-2024-000416,CRC,0,0,242274607.14,241293238.65,1,1,CUMPLE
AV-2024-000417,CRC,0,0,3526498604.03,3507726913.89,1,1,CUMPLE
AV-2024-000425,USD,0,0,110394.37,109681.75,1,1,CUMPLE
AV-2024-000428,CRC,1,1,,,1,1,PERSISTENTE
AV-2024-000433,CRC,0,0,82847775.25,82234673.64,1,1,CUMPLE
AV-2024-000444,CRC,0,0,157330108.47,156351669.35,1,1,CUMPLE
AV-2024-000446,CRC,0,0,,,1,1,CUMPLE
AV-2024-000447,CRC,0,0,70331644.10,69900304.64,1,1,CUMPLE
AV-2024-000450,USD,0,0,,,1,1,CUMPLE
AV-2024-000463,CRC,0,0,,,1,1,CUMPLE
AV-2024-000465,CRC,1,1,60175604.54,59642558.21,1,1,PERSISTENTE
AV-2024-000471,CRC,0,1,110980624.61,109855250.66,1,1,NUEVO
AV-2024-000476,USD,1,0,124306.80,123817.64,1,1,CORREGIDO
AV-2024-000477,CRC,1,1,298697897.45,297531080.64,1,1,PERSISTENTE
AV-2024-000480,CRC,0,0,251149163.98,248418252.68,1,1,CUMPLE
