corte,moneda,nivel_confiabilidad,accion_sugerida,avaluos,avaluos_con_credito,valor_garantia,saldo,ltv_promedio,dias_antiguedad_mediana,pct_saldo_del_corte
2026-03,CRC,CONFIABLE,Ninguna,1764,1409,2540696191000.00,1223809164796.50,0.6259,275.0,68.84
2026-03,CRC,NO_CONFIABLE,Re-inspección,195,125,307690618000.00,105501599355.19,0.7522,331.0,5.93
2026-03,CRC,REVISAR,Verificación documental,568,460,1182220175000.00,448435056452.47,0.7773,909.0,25.22
2026-03,USD,CONFIABLE,Ninguna,1036,860,2325969811.00,1236607395.54,0.6259,267.0,70.02
2026-03,USD,NO_CONFIABLE,Re-inspección,125,88,247258951.00,128847158.45,0.7397,343.0,7.3
2026-03,USD,REVISAR,Verificación documental,312,257,803953913.00,400525878.28,0.6997,977.0,22.68
2026-04,CRC,CONFIABLE,Ninguna,2213,1758,3255394286000.00,1557083863437.34,0.6208,258.0,85.92
2026-04,CRC,NO_CONFIABLE,Re-inspección,78,49,127541295000.00,39489742074.16,0.7079,389.0,2.18
2026-04,CRC,REVISAR,Verificación documental,232,189,524236627000.00,215771215887.64,0.8104,658.0,11.91
2026-04,USD,CONFIABLE,Ninguna,1307,1068,2945220288.00,1519201193.86,0.6203,251.0,88.34
2026-04,USD,NO_CONFIABLE,Re-inspección,62,50,142741485.00,81236882.51,0.9375,340.0,4.72
2026-04,USD,REVISAR,Verificación documental,108,89,225226991.00,119332305.87,0.6379,885.0,6.94
