corte,perito_id,activo,avaluos,avaluos_con_incumplimiento,avaluos_no_confiables,tasa_incumplimiento,exposicion_no_confiable
2026-03,No informado,NO,15,15,15,100.0,21711580396.76
2026-03,PER-001,SI,581,125,34,21.51,5471202031.93
2026-03,PER-002,SI,393,74,17,18.83,2949564615.11
2026-03,PER-003,SI,574,332,98,57.84,36739283742.37
2026-03,PER-004,SI,393,100,20,25.45,2202264733.24
2026-03,PER-005,SI,391,42,11,10.74,1924414454.80
2026-03,PER-006,SI,392,98,27,25.0,10490976779.66
2026-03,PER-007,SI,519,232,64,44.7,13550086685.36
2026-03,PER-008,SI,355,77,17,21.69,3196188809.41
2026-03,PER-009,SI,387,105,17,27.13,7394884265.00
2026-04,No informado,NO,5,5,5,100.0,19897283144.78
2026-04,PER-001,SI,592,44,15,7.43,1339462949.57
2026-04,PER-002,SI,398,31,9,7.79,2591576515.87
2026-04,PER-003,SI,572,125,37,21.85,5159628435.28
2026-04,PER-004,SI,398,43,10,10.8,832304705.84
2026-04,PER-005,SI,401,24,5,5.99,1601899312.95
2026-04,PER-006,SI,385,41,13,10.65,1409018013.33
2026-04,PER-007,SI,507,94,31,18.54,2718411080.61
2026-04,PER-008,SI,361,32,6,8.86,78347350.85
2026-04,PER-009,SI,381,41,9,10.76,3943047447.59
