sk_corte,sk_regla,corte,rule_id,avaluos,cumple,incumple,no_aplica
1,1,2026-03,R-01,4000,3960,40,0
1,2,2026-03,R-02,4000,3910,90,0
1,3,2026-03,R-03,4000,3854,109,37
1,4,2026-03,R-04,4000,3745,50,205
1,5,2026-03,R-05,4000,3927,50,23
1,6,2026-03,R-06,4000,3720,280,0
1,7,2026-03,R-07,4000,2181,247,1572
1,8,2026-03,R-08,4000,3426,574,0
2,1,2026-04,R-01,4000,3984,16,0
2,2,2026-04,R-02,4000,3963,37,0
2,3,2026-04,R-03,4000,3934,54,12
2,4,2026-04,R-04,4000,3776,26,198
2,5,2026-04,R-05,4000,3973,17,10
2,6,2026-04,R-06,4000,3879,121,0
2,7,2026-04,R-07,4000,2333,88,1579
2,8,2026-04,R-08,4000,3806,194,0
