sk_corte,sk_fecha_valor,sk_geografia,sk_tipologia,sk_perito,sk_confiabilidad,id_avaluo,numero_finca,corte,moneda,finalidad,fecha_valor,nivel_confiabilidad,credito_atribuible,tiene_credito,valor_garantia,saldo,ltv,dias_antiguedad,n_bloquea,n_revisa,saldo_equivalente_crc,exposicion_no_confiable
1,20210307,16,1,7,2,AV-2025-002418,4-370674-230,2026-03,CRC,Garantía hipotecaria,2021-03-07,REVISAR,true,true,343114000.00,111752725.08,0.3257,1850,0,2,111752725.08,
1,20210307,28,3,3,2,AV-2026-003505,1-868612,2026-03,CRC,Garantía hipotecaria,2021-03-07,REVISAR,true,true,388371000.00,211488614.85,0.5446,1850,0,1,211488614.85,
1,20210308,28,7,9,2,AV-2025-003022,1-145917,2026-03,USD,Leasing,2021-03-08,REVISAR,true,true,1708208.00,1164952.23,0.682,1849,0,1,594125637.3,
1,20210311,5,3,9,2,AV-2025-002376,2-566238,2026-03,CRC,Garantía hipotecaria,2021-03-11,REVISAR,true,true,84752000.00,224440675.95,2.6482,1846,0,2,224440675.95,
1,20210312,4,9,4,2,AV-2025-001690,2-377437,2026-03,CRC,Actualización de garantía,2021-03-12,REVISAR,true,true,124823000.00,85692104.84,0.6865,1845,0,1,85692104.84,
1,20210314,7,3,3,2,AV-2025-000092,3-260841,2026-03,CRC,Garantía hipotecaria,2021-03-14,REVISAR,true,true,643802000.00,371677048.87,0.5773,1843,0,1,371677048.87,
1,20210314,18,4,3,2,AV-2025-001700,4-481450-334,2026-03,USD,Garantía hipotecaria,2021-03-14,REVISAR,true,true,259425.00,187194.23,0.7216,1843,0,1,95469057.30000001,
1,20210314,21,3,3,2,AV-2025-001822,7-921985,2026-03,CRC,Garantía hipotecaria,2021-03-14,REVISAR,true,true,181271000.00,93584600.73,0.5163,1843,0,1,93584600.73,
1,20210317,2,3,8,2,AV-2026-000255,2-864922,2026-03,CRC,Compraventa,2021-03-17,REVISAR,true,false,111655000.00,,,1840,0,1,,
1,20210322,20,3,3,2,AV-2025-001290,7-393394,2026-03,CRC,Leasing,2021-03-22,REVISAR,true,true,149220000.00,91118381.11,0.6106,1835,0,1,91118381.11,
1,20210322,32,8,9,2,AV-2025-003733,1-814545,2026-03,CRC,Leasing,2021-03-22,REVISAR,true,true,424720000.00,342783805.57,0.8071,1835,0,1,342783805.57,
1,20210325,27,3,1,2,AV-2025-003194,1-623930,2026-03,CRC,Leasing,2021-03-25,REVISAR,true,true,304000000.00,144801522.73,0.4763,1832,0,1,144801522.73,
1,20210326,8,3,1,2,AV-2024-002034,3-212943,2026-03,CRC,Compraventa,2021-03-26,REVISAR,true,false,2068555000.00,,,1831,0,2,,
1,20210331,24,2,3,2,AV-2024-002980,6-864514,2026-03,USD,Seguro,2021-03-31,REVISAR,true,false,7510372.00,,,1826,0,2,,
1,20210403,10,7,4,2,AV-2025-002655,3-535617,2026-03,USD,Actualización de garantía,2021-04-03,REVISAR,true,true,607579.00,337165.55,0.5549,1823,0,2,171954430.5,
