sk_corte,sk_regla,sk_fecha_valor,sk_geografia,sk_tipologia,sk_perito,sk_confiabilidad,id_avaluo,numero_finca,corte,rule_id,accion,campo,valor_observado,condicion_esperada,incidencias
1,1,20210811,30,7,3,3,AV-2025-000039,1-671342,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-000039,único dentro del corte,1
1,1,20210908,29,2,3,3,AV-2024-002337,1-389737,2026-03,R-01,BLOQUEA,id_avaluo,AV-2024-002337,único dentro del corte,1
1,1,20221217,1,3,2,3,AV-2025-002894,2-570604,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-002894,único dentro del corte,1
1,1,20230323,3,7,8,3,AV-2024-002337,2-684252,2026-03,R-01,BLOQUEA,id_avaluo,AV-2024-002337,único dentro del corte,1
1,1,20230421,30,3,4,3,AV-2024-003089,1-207580,2026-03,R-01,BLOQUEA,id_avaluo,AV-2024-003089,único dentro del corte,1
1,1,20230513,25,3,8,3,AV-2025-001122,6-961912,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-001122,único dentro del corte,1
1,1,20231013,7,3,2,3,AV-2025-003872,3-514641,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003872,único dentro del corte,1
1,1,20240117,34,7,8,3,AV-2025-003674,1-517678,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003674,único dentro del corte,1
1,1,20240203,33,9,3,3,AV-2025-002380,1-469014,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-002380,único dentro del corte,1
1,1,20240419,7,2,4,3,AV-2024-003089,3-960024,2026-03,R-01,BLOQUEA,id_avaluo,AV-2024-003089,único dentro del corte,1
1,1,20240613,18,3,7,3,AV-2025-002394,4-953510,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-002394,único dentro del corte,1
1,1,20240830,26,3,7,3,AV-2025-003863,1-881428,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003863,único dentro del corte,1
1,1,20240916,16,5,2,3,AV-2024-000953,4-986439,2026-03,R-01,BLOQUEA,id_avaluo,AV-2024-000953,único dentro del corte,1
1,1,20241006,23,3,6,3,AV-2026-001499,6-665725,2026-03,R-01,BLOQUEA,id_avaluo,AV-2026-001499,único dentro del corte,1
1,1,20241101,31,6,1,3,AV-2025-001280,1-529519,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-001280,único dentro del corte,1
1,1,20241222,9,9,7,3,AV-2026-001146,3-332087,2026-03,R-01,BLOQUEA,id_avaluo,AV-2026-001146,único dentro del corte,1
1,1,20241225,24,6,3,3,AV-2024-000349,6-531641,2026-03,R-01,BLOQUEA,id_avaluo,AV-2024-000349,único dentro del corte,1
1,1,20250106,16,1,4,3,AV-2025-001190,4-347031-184,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-001190,único dentro del corte,1
1,1,20250118,16,3,3,3,AV-2025-001122,4-536875,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-001122,único dentro del corte,1
1,1,20250127,9,1,6,3,AV-2025-003872,3-378718-285,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003872,único dentro del corte,1
1,1,20250218,29,9,8,3,AV-2024-000349,1-941765,2026-03,R-01,BLOQUEA,id_avaluo,AV-2024-000349,único dentro del corte,1
1,1,20250410,26,1,7,3,AV-2025-002894,1-521638-267,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-002894,único dentro del corte,1
1,1,20250414,17,3,7,3,AV-2024-000953,4-510479,2026-03,R-01,BLOQUEA,id_avaluo,AV-2024-000953,único dentro del corte,1
1,1,20250502,29,7,7,3,AV-2025-003169,1-622184,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003169,único dentro del corte,1
1,1,20250506,23,3,3,3,AV-2025-002394,6-436775,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-002394,único dentro del corte,1
