id_avaluo,numero_finca,finalidad,fecha_inspeccion,fecha_valor,fecha_informe,provincia,canton,distrito,latitud,longitud,tipologia_inmueble,moneda,area_terreno_m2,valor_unitario_terreno_m2,area_construccion_m2,valor_unitario_construccion_m2,valor_obras_complementarias,valor_total_inmueble,perito_id
AV-2025-000001,1-206214-301,Leasing,2025-04-07,2025-04-20,2025-04-25,San José,Montes de Oca,San Pedro,9.774689,-83.148196,Condominio horizontal,USD,281.5,860.01,106.68,1660.35,13034.36,363482,PER-008
AV-2025-000002,2-696951,Leasing,2025-01-01,2025-01-11,2025-01-22,Alajuela,San Carlos,Quesada,10.30459,-84.460832,Casa de habitación,CRC,162.46,2863081.27,51.84,367238.56,905987.71,485080000,PER-002
AV-2025-000003,5-170518,Actualización de garantía,2025-03-29,2025-04-04,2025-04-10,Guanacaste,Carrillo,Sardinal,10.492995,-85.65308,Terreno baldío urbano,CRC,1440.46,145196.77,0.0,0.0,0.0,209150000,PER-007
AV-2024-000004,1-474643-375,Actualización de garantía,2024-12-08,2024-12-13,2024-12-15,San José,Tibás,San Juan,9.951323,-84.088431,Apartamento,USD,104.76,692.54,171.39,1063.97,9856.43,264761,PER-001
AV-2025-000005,4-474913,Leasing,2025-06-29,2025-07-05,2025-07-07,Heredia,Sarapiquí,Puerto Viejo,10.559614,-83.996739,Terreno baldío rural,CRC,5320.73,47859.72,0.0,0.0,3273751.12,257922000,PER-007
AV-2024-000006,7-111572,Leasing,2024-11-17,2024-11-19,2024-12-01,Limón,Limón,Limón,9.989528,-83.031163,Terreno baldío rural,CRC,14758.6,106495.29,0.0,0.0,0.0,1571721000,PER-006
AV-2026-000007,3-760278-240,Actualización de garantía,2026-01-05,2026-01-11,2026-01-23,Cartago,Cartago,Oriental,9.870576,-83.92154,Condominio horizontal,USD,537.34,850.1,320.13,1155.27,27139.0,853768,PER-001
AV-2024-000008,3-400519,Leasing,2024-07-30,2024-08-16,2024-08-20,Cartago,Turrialba,Turrialba,9.870367,-83.719668,Casa de habitación,CRC,365.55,543550.26,110.72,651155.67,740248.98,271531000,PER-001
AV-2025-000009,3-270138,Actualización de garantía,2025-09-26,2025-09-26,2025-10-08,Cartago,La Unión,Tres Ríos,9.901611,-83.97512,Casa de habitación,CRC,360.85,385995.8,179.67,741792.75,5043287.69,277608000,PER-007
AV-2025-000010,4-102348,Actualización de garantía,2025-09-01,2025-09-21,2025-09-30,Heredia,Santo Domingo,Santo Domingo,9.971729,-84.077438,Terreno baldío urbano,CRC,1010.69,195880.12,0.0,0.0,0.0,197974000,PER-009
AV-2024-000011,1-215558,Garantía hipotecaria,2024-09-16,2024-09-23,2024-10-03,San José,Tibás,San Juan,9.953505,-84.065703,Casa de habitación,CRC,548.17,676446.03,274.52,326593.83,5664926.01,466129000,PER-007
AV-2025-000012,3-720097,Leasing,2025-11-20,2025-11-23,2025-11-27,Cartago,La Unión,Tres Ríos,9.911382,-83.987984,Casa de habitación,CRC,185.4,387462.68,70.36,374712.96,706861.56,98907000,PER-009
AV-2025-000013,1-306654,Garantía hipotecaria,2022-10-27,2022-11-15,2022-11-17,San José,Escazú,Escazú,9.915431,-84.158241,Edificio de oficinas,USD,3282.41,1095.33,6614.53,,490539.29,12380284,PER-003
AV-2025-000014,1-769996-349,Leasing,2025-08-02,2025-08-15,2025-08-22,San José,Montes de Oca,San Pedro,9.942477,-84.056525,Condominio horizontal,USD,281.71,597.93,116.55,1429.26,8690.13,343713,PER-007
AV-2026-000015,4-629172,Contable,2026-01-10,2026-01-14,2026-01-25,Heredia,San Rafael,San Rafael,10.006703,-84.093158,Casa de habitación,CRC,330.24,553119.47,37.17,419056.14,337296.92,198576000,PER-002
AV-2025-000016,2-612525,Contable,2025-07-04,2025-07-22,2025-07-28,Alajuela,San Ramón,San Ramón,10.06652,-84.481116,Local comercial,CRC,2564.99,525433.74,4637.3,259163.46,19526900.74,2569078000,PER-004
AV-2025-000017,2-205941,Actualización de garantía,2025-04-09,2025-04-17,2025-04-23,Alajuela,Alajuela,Alajuela,10.033978,-84.21842,Casa de habitación,CRC,1119.33,863535.58,204.73,264954.16,2146575.25,1022972000,PER-002
