corte,id_credito,id_avaluo,moneda,saldo,fecha_desembolso,estado
2026-03,CR-000000,AV-2025-000001,USD,288588.48,2025-05-31,VIGENTE
2026-04,CR-000000,AV-2025-000001,USD,286336.52,2025-05-03,VIGENTE
2026-03,CR-000001,AV-2025-000002,CRC,46420275.74,2025-02-12,VIGENTE
2026-04,CR-000001,AV-2025-000002,CRC,46182816.09,2025-03-09,VIGENTE
2026-03,CR-000002,AV-2025-000003,CRC,114232825.48,2025-06-01,VIGENTE
2026-04,CR-000002,AV-2025-000003,CRC,112956981.59,2025-05-23,VIGENTE
2026-03,CR-000003,AV-2024-000004,USD,184871.54,2025-01-18,VIGENTE
2026-04,CR-000003,AV-2024-000004,USD,183460.59,2025-01-30,VIGENTE
2026-03,CR-000004,AV-2025-000005,CRC,178500211.71,2025-08-28,VIGENTE
2026-04,CR-000004,AV-2025-000005,CRC,177806430.01,2025-08-01,VIGENTE
2026-03,CR-000005,AV-2024-000006,CRC,1020381663.8,2025-01-21,VIGENTE
2026-04,CR-000005,AV-2024-000006,CRC,1012019134.71,2024-12-28,VIGENTE
2026-03,CR-000006,AV-2026-000007,USD,714793.49,2026-03-08,VIGENTE
2026-04,CR-000006,AV-2026-000007,USD,712363.12,2026-03-20,VIGENTE
2026-03,CR-000007,AV-2024-000008,CRC,145441751.9,2024-09-07,VIGENTE
2026-04,CR-000007,AV-2024-000008,CRC,144164346.0,2024-09-06,VIGENTE
2026-03,CR-000008,AV-2025-000009,CRC,165336556.55,2025-10-19,VIGENTE
2026-04,CR-000008,AV-2025-000009,CRC,164379640.33,2025-10-14,VIGENTE
2026-03,CR-000009,AV-2025-000010,CRC,137362831.24,2025-10-25,VIGENTE
2026-04,CR-000009,AV-2025-000010,CRC,136171062.89,2025-10-11,VIGENTE
2026-03,CR-000010,AV-2024-000011,CRC,257400067.33,2024-12-02,VIGENTE
2026-04,CR-000010,AV-2024-000011,CRC,256176360.73,2024-10-30,VIGENTE
2026-03,CR-000011,AV-2025-000012,CRC,43991763.1,2026-01-26,VIGENTE
2026-04,CR-000011,AV-2025-000012,CRC,43743032.33,2026-01-20,VIGENTE
2026-03,CR-000012,AV-2025-000013,USD,5646669.76,2026-01-07,VIGENTE
2026-04,CR-000012,AV-2025-000013,USD,5613013.46,2026-01-18,VIGENTE
2026-03,CR-000013,AV-2025-000014,USD,237244.35,2025-10-07,VIGENTE
2026-04,CR-000013,AV-2025-000014,USD,235958.18,2025-08-31,VIGENTE
2026-03,CR-000016,AV-2025-000017,CRC,732049005.99,2025-06-20,VIGENTE
2026-04,CR-000016,AV-2025-000017,CRC,725679249.26,2025-06-20,VIGENTE
2026-03,CR-000017,AV-2026-000018,CRC,1209637764.98,2026-03-15,VIGENTE
2026-04,CR-000017,AV-2026-000018,CRC,1197941746.79,2026-03-23,VIGENTE
2026-03,CR-000018,AV-2026-000019,USD,448753.87,2026-03-03,VIGENTE
